model,language,record_id,field,gold,pred,match,precision,recall,f1,gold_len,pred_len,review_required
mistral-7b-instruct-v0.3,deu,2025-09-12_CDH_0001,record_id,2025-09-12_CDH_0001,2025-09-12_CDH_0001,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-12_CDH_0001,interview_date,2025-09-12,2025-09-12,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-12_CDH_0001,interviewer,[INTERVIEWER_1],[INTERVIEWER_1],True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-12_CDH_0001,language,deu,deu,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-12_CDH_0001,spatial,Saarbrücken,Saarbrücken,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-12_CDH_0001,consent_status,research-only,research-only,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-12_CDH_0001,accessRights,restricted,restricted,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-12_CDH_0001,keywords,"['Arbeit', 'Grenze', 'Pendeln', 'Saarland']","['Arbeit', 'Grenze']",,1.0,0.5,0.6666666666666666,,,
mistral-7b-instruct-v0.3,deu,2025-09-12_CDH_0001,title__free,,,,,,,58.0,58.0,True
mistral-7b-instruct-v0.3,deu,2025-09-12_CDH_0001,abstract__free,,,,,,,176.0,0.0,True
mistral-7b-instruct-v0.3,deu,2025-09-13_CDH_0002,record_id,2025-09-13_CDH_0002,2025-09-13_CDH_0002,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-13_CDH_0002,interview_date,2025-09-13,2025-09-13,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-13_CDH_0002,interviewer,[INTERVIEWER_1],[INTERVIEWER_1],True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-13_CDH_0002,language,deu,deu,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-13_CDH_0002,spatial,Trier,Trier,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-13_CDH_0002,consent_status,research-only,research-only,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-13_CDH_0002,accessRights,restricted,restricted,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-13_CDH_0002,keywords,"['EU', 'Erinnerung', 'Großregion', 'Mobilität']","['EU', 'Mobilität']",,1.0,0.5,0.6666666666666666,,,
mistral-7b-instruct-v0.3,deu,2025-09-13_CDH_0002,title__free,,,,,,,67.0,67.0,True
mistral-7b-instruct-v0.3,deu,2025-09-13_CDH_0002,abstract__free,,,,,,,106.0,0.0,True
mistral-7b-instruct-v0.3,deu,2025-09-14_CDH_0003,record_id,2025-09-14_CDH_0003,2025-09-14_CDH_0003,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-14_CDH_0003,interview_date,2025-09-14,2025-09-14,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-14_CDH_0003,interviewer,[INTERVIEWER_1],[INTERVIEWER_1],True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-14_CDH_0003,language,deu,deu,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-14_CDH_0003,spatial,Völklingen,Völklingen,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-14_CDH_0003,consent_status,research-only,research-only,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-14_CDH_0003,accessRights,restricted,restricted,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-14_CDH_0003,keywords,"['Industrie', 'Schichtarbeit', 'Stahl', 'Strukturwandel']","['Schichtarbeit', 'Stahl']",,1.0,0.5,0.6666666666666666,,,
mistral-7b-instruct-v0.3,deu,2025-09-14_CDH_0003,title__free,,,,,,,54.0,54.0,True
mistral-7b-instruct-v0.3,deu,2025-09-14_CDH_0003,abstract__free,,,,,,,125.0,0.0,True
mistral-7b-instruct-v0.3,deu,2025-09-15_CDH_0004,record_id,2025-09-15_CDH_0004,2025-09-15_CDH_0004,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-15_CDH_0004,interview_date,2025-09-15,2025-09-15,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-15_CDH_0004,interviewer,[INTERVIEWER_1],[INTERVIEWER_1],True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-15_CDH_0004,language,deu,deu,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-15_CDH_0004,spatial,Heidelberg,Heidelberg,True,,,,,,
mistral-7b-instruct-v0.3,deu,2025-09-15_CDH_0004,consent_status,research-only,research-only,True,,,,,,
